Date,Open,High,Low,Close,Volume,Market Cap,MSTR Stock,PYPL_Stock,BDT_Stock
2019-06-22,10175.92,11157.35,10107.04,10701.69,29995204861,1.90E+11,146.72,116.5,6540
2019-06-23,10696.69,11246.14,10556.1,10855.37,20998326502,1.93E+11,146.72,116.5,6540
2019-06-24,10853.74,11065.9,10610.43,11011.1,19271652365,1.96E+11,141.58,116.5,6750
2019-06-25,11007.2,11790.92,11007.2,11790.92,24879684533,2.10E+11,140.16,114.44,8770
2019-06-26,11778.58,13796.49,11755.6,13016.23,45105733173,2.31E+11,139.12,114.15,10150
2019-06-27,13017.12,13311.14,10491.85,11182.81,39977475223,1.99E+11,141.03,113.67,9690
2019-06-28,11162.17,12445.18,10914.49,12407.33,35087757766,2.21E+11,143.31,114.46,8900
2019-06-29,12400.76,12400.91,11508.38,11959.37,29923961128,2.13E+11,143.31,115.03,8900
2019-06-30,11931.99,12178.38,10799.01,10817.16,27256473494,1.92E+11,143.31,115.03,8900
2019-07-01,10796.93,11206.44,10089.31,10583.13,29378589324,1.88E+11,140.03,115.03,8400
2019-07-02,10588.68,10912.19,9737.88,10801.68,31015895223,1.92E+11,140.5,116.17,8150
2019-07-03,10818.16,11968.08,10818.16,11961.27,30796494294,2.13E+11,141.16,117.68,8410
2019-07-04,11972.72,12006.08,11166.57,11215.44,25920294033,2.00E+11,141.16,117.16,8370
2019-07-05,11203.1,11395.66,10874.96,10978.46,23838480210,1.95E+11,140.24,117.16,8080
2019-07-06,10982.54,11620.97,10982.54,11208.55,21092024306,2.00E+11,140.24,116.95,8080
2019-07-07,11217.62,11541.62,11148.8,11450.85,19369044277,2.04E+11,140.24,116.95,8080
2019-07-08,11446.6,12345.83,11393.37,12285.96,23482551458,2.19E+11,125.93,116.95,7680
2019-07-09,12284.33,12779.13,12233.26,12573.81,28167921523,2.24E+11,123.99,118.37,8250
2019-07-10,12571.54,13129.53,11710.98,12156.51,33627574244,2.17E+11,122.96,119.64,8460
2019-07-11,12139.71,12144.62,11158.92,11358.66,28595327690,2.02E+11,122.79,120.65,7970
2019-07-12,11354.3,11905.49,11179.14,11815.99,23534692797,2.10E+11,123.02,120.12,7650
2019-07-13,11813.13,11841.96,10908.48,11392.38,21042616384,2.03E+11,123.02,120.9,7650
2019-07-14,11381.02,11451.2,10234.58,10256.06,22486000001,1.83E+11,123.02,120.9,7650
2019-07-15,10257.84,11052.77,9992.01,10895.09,25384047207,1.94E+11,123.62,120.9,7200
2019-07-16,10896.65,10996.63,9448.11,9477.64,24151199070,1.69E+11,124.5,119.71,7060
2019-07-17,9471.21,9963.13,9163.13,9693.8,24569921549,1.73E+11,122.51,118.81,7140
2019-07-18,9698.5,10736.84,9376.8,10666.48,25187024648,1.90E+11,122.66,119.87,6980
2019-07-19,10653.96,10716.98,10229.63,10530.73,20727426310,1.88E+11,121.75,118.63,7090
2019-07-20,10525.82,11048.66,10451.28,10767.14,20206615155,1.92E+11,121.75,118.69,7090
2019-07-21,10777.53,10841.89,10389.6,10599.11,17130580467,1.89E+11,121.75,118.69,7090
2019-07-22,10596.95,10651.79,10154.92,10343.11,16334414913,1.84E+11,122.25,118.69,7110
2019-07-23,10346.75,10346.75,9883.6,9900.77,17851916995,1.77E+11,121.58,120.22,7090
2019-07-24,9887.73,9908.8,9614.31,9811.93,17398734322,1.75E+11,122.73,121.3,6880
2019-07-25,9809.1,10154.25,9773.96,9911.84,15821952090,1.77E+11,122.19,115.12,7020
